Oregon,Ducks,Eugene,Oregon,Pac-12,1894,
Oregon State,Beavers,Corvallis,Oregon,Pac-12,1893,
Penn State,Nittany Lions,State College,Pennsylvania,Big Ten,1881,
Pittsburgh,Panthers,Pittsburgh,Pennsylvania,ACC,1890,
Purdue,Boilermakers,West Lafayette,Indiana,Big Ten,1887,
Rice,Owls,Houston,Texas,C-USA,1912,
Rutgers,Scarlet Knights,Piscataway,New Jersey,Big Ten,1869,
San Diego State,Aztecs,San Diego,California,Mountain West,1921,
San Jose State,Spartans,San Jose,California,Mountain West,1892,
South Alabama,Jaguars,Mobile,Alabama,Sun Belt,2009,2012
South Carolina,Gamecocks,Columbia,South Carolina,SEC,1892,
South Florida,Bulls,Tampa,Florida,American,1997,2001
USC,Trojans,Los Angeles,California,Pac-12,1888,
SMU,Mustangs,University Park,Texas,American,1915,
Southern Miss,Golden Eagles,Hattiesburg,Mississippi,C-USA,1912,
Stanford,Cardinal,Stanford,California,Pac-12,1891,
Syracuse,Orange,Syracuse,New York,ACC,1889,
Temple,Owls,Philadelphia,Pennsylvania,American,1894,
Tennessee,Volunteers,Knoxville,Tennessee,SEC,1891,
Texas,Longhorns,Austin,Texas,Big 12,1893,
Texas A&M,Aggies,College Station,Texas,SEC,1894,
TCU,Horned Frogs,Fort Worth,Texas,Big 12,1896,
Texas State,Bobcats,San Marcos,Texas,Sun Belt,1904,2012
Texas Tech,Red Raiders,Lubbock,Texas,Big 12,1925,
UTEP,Miners,El Paso,Texas,C-USA,1914,
UTSA,Roadrunners,San Antonio,Texas,C-USA,2011,2012
Toledo,Rockets,Toledo,Ohio,MAC,1917,
Troy,Trojans,Troy,Alabama,Sun Belt,1909,2002
Tulane,Green Wave,New Orleans,Louisiana,American,1893,
Tulsa,Golden Hurricane,Tulsa,Oklahoma,American,1895,
Utah,Utes,Salt Lake City,Utah,Pac-12,1892,
Utah State,Aggies,Logan,Utah,Mountain West,1892,
Vanderbilt,Commodores,Nashville,Tennessee,SEC,1890,
Virginia,Cavaliers,Charlottesville,Virginia,ACC,1888,
Virginia Tech,Hokies,Blacksburg,Virginia,ACC,1892,
Wake Forest,Demon Deacons,Winston-Salem,North Carolina,ACC,1888,
Washington,Huskies,Seattle,Washington,Pac-12,1889,
Washington State,Cougars,Pullman,Washington,Pac-12,1893,
West Virginia,Mountaineers,Morgantown,West Virginia,Big 12,1891,
Western Kentucky,Hilltoppers,Bowling Green,Kentucky,C-USA,1913,2009
Western Michigan,Broncos,Kalamazoo,Michigan,MAC,1905,
Wisconsin,Badgers,Madison,Wisconsin,Big Ten,1889,
Wyoming,Cowboys,Laramie,Wyoming,Mountain West,1893,
