Camp Randall Stadium,Wisconsin,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Camp_Randall_Stadium_stands.jpg/80px-Camp_Randall_Stadium_stands.jpg,Madison,WI,Big Ten,1917,80321,83184,2005
Carrier Dome,Syracuse,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/CarrierDome.jpg/80px-CarrierDome.jpg,Syracuse,NY,ACC,1980,49250,50564,1980
Carter-Finley Stadium,NC State,http://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Carter-Finley_Stadium_1.jpg/80px-Carter-Finley_Stadium_1.jpg,Raleigh,NC,ACC,1966,57583,57583,
Centennial Bank Stadium,Arkansas State,http://upload.wikimedia.org/wikipedia/en/thumb/c/cf/Arkansas_State_-_Field_View.jpg/80px-Arkansas_State_-_Field_View.jpg,Jonesboro,AR,Sun Belt,1974,30964,31243,2012
Commonwealth Stadium,Kentucky,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/KentuckyCommonwealthStadium-Exterior.jpg/80px-KentuckyCommonwealthStadium-Exterior.jpg,Lexington,KY,SEC,1973,67606,71024,2007
Darrell K Royal-Texas Memorial Stadium,Texas,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/University_of_Texas_vs._Florida_Atlantic_football_game_Panorama_%40_Darrell_K_Royal_Texas_Memorial_Stadium.jpg/80px-University_of_Texas_vs._Florida_Atlantic_football_game_Panorama_%40_Darrell_K_Royal_Texas_Memorial_Stadium.jpg,Austin,TX,Big 12,1924,100119,101851,2012
Davis Wade Stadium,Mississippi State,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/DavisWade.jpg/80px-DavisWade.jpg,Starkville,MS,SEC,1914,61337,62945,2014
Dix Stadium,Kent State,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/KSUDixStadium.JPG/80px-KSUDixStadium.JPG,Kent,OH,MAC,1969,25000,27363,1973
Dowdy-Ficklen Stadium,East Carolina,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/UAB_at_ECU_football_game_2009-11-21.JPG/80px-UAB_at_ECU_football_game_2009-11-21.JPG,Greenville,NC,American,1963,50000,50610,2011
Doyt Perry Stadium,Bowling Green,http://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Kent_State_BG_2012.JPG/80px-Kent_State_BG_2012.JPG,Bowling Green,OH,MAC,1966,23724,33527,1983
Falcon Stadium,Air Force,http://upload.wikimedia.org/wikipedia/commons/thumb/6/65/BYU_at_Air_Force_2010-09-11.jpg/80px-BYU_at_Air_Force_2010-09-11.jpg,Colorado Springs,CO,Mountain West,1962,46692,56409,2002
Faurot Field,Missouri,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Faurot_Field.jpg/80px-Faurot_Field.jpg,Columbia,MO,SEC,1927,71004,75298,1980
FAU Stadium,Florida Atlantic,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/FAUStadium_night.jpg/80px-FAUStadium_night.jpg,Boca Raton,FL,C-USA,2011,30000,29103,2011
FIU Stadium,FIU,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/FIU_Stadium.JPG/80px-FIU_Stadium.JPG,Miami,FL,C-USA,1995,20000,22682,2011
Folsom Field,Colorado,http://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Folsom_field.jpg/80px-Folsom_field.jpg,Boulder,CO,Pac-12,1924,53750,54972,2006
Foreman Field,Old Dominion,http://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Foreman_Field_Sep_09_against_VUU.jpg/80px-Foreman_Field_Sep_09_against_VUU.jpg,Norfolk,VA,C-USA,1936,20118,,
Gaylord Family Oklahoma Memorial Stadium,Oklahoma,http://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Gaylord_Family_Oklahoma_Memorial_Stadium_from_SEC.jpg/80px-Gaylord_Family_Oklahoma_Memorial_Stadium_from_SEC.jpg,Norman,OK,Big 12,1925,82112,86031,2012
Georgia Dome,Georgia State,http://upload.wikimedia.org/wikipedia/commons/thumb/0/00/NewGeorgiaDome.JPG/80px-NewGeorgiaDome.JPG,Atlanta,GA,Sun Belt,1992,28155,30237,2010
Gerald J. Ford Stadium,SMU,http://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Gerald_J_Ford_Stadium.jpg/80px-Gerald_J_Ford_Stadium.jpg,University Park,TX,American,2000,32000,35481,2010
"[u'Gillette Stadium', u'[O 1]']",UMass,http://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Gillette_stadium.jpg/80px-Gillette_stadium.jpg,Foxborough,MA,MAC,2002,68756,68756,
Glass Bowl,Toledo,http://upload.wikimedia.org/wikipedia/commons/thumb/3/36/GlassBowl1.jpg/80px-GlassBowl1.jpg,Toledo,OH,MAC,1937,26248,36852,2001
Heinz Field,Pittsburgh,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Heinz_Field.jpg/80px-Heinz_Field.jpg,Pittsburgh,PA,ACC,2001,65050,66731,2002
High Point Solutions Stadium,Rutgers,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/High_Point_Solutions_Stadium-Rutgers_University.jpg/80px-High_Point_Solutions_Stadium-Rutgers_University.jpg,Piscataway,NJ,Big Ten,1994,52454,53737,2009
Houchens Industries-L. T. Smith Stadium,Western Kentucky,http://upload.wikimedia.org/wikipedia/en/thumb/6/6b/Insidesmith.jpeg/80px-Insidesmith.jpeg,Bowling Green,KY,C-USA,1968,22113,23252,2012
Husky Stadium,Washington,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Aerial_Husky_Stadium_March_2009.jpg/80px-Aerial_Husky_Stadium_March_2009.jpg,Seattle,WA,Pac-12,1920,72500,76125,1995
Jack Trice Stadium,Iowa State,http://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Jack_Trice_Stadium.jpg/80px-Jack_Trice_Stadium.jpg,Ames,IA,Big 12,1975,55000,56800,2012
Jim Wacker Field at Bobcat Stadium,Texas State,http://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Bobcat_Stadium_West_Side.jpg/80px-Bobcat_Stadium_West_Side.jpg,San Marcos,TX,Sun Belt,1981,30000,33006,2012
Joan C. Edwards Stadium,Marshall,http://upload.wikimedia.org/wikipedia/commons/thumb/6/62/MarshallStadium2.jpg/80px-MarshallStadium2.jpg,Huntington,WV,C-USA,1991,38019,41382,2010
